epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.7987183332443237,0.99368816614151,0.9968391060829163,0.9936882853507996
0,4,1.1772314310073853,,,,,
1,9,,,0.8222970366477966,1.0285420417785645,1.0141706466674805,1.0285420417785645
1,9,1.0938047170639038,,,,,
2,14,,,0.7851626873016357,0.9788259863853455,0.9893563389778137,0.9788259863853455
2,14,1.0306777954101562,,,,,
3,19,,,0.7877552509307861,0.9728485941886902,0.9863308668136597,0.9728485941886902
3,19,0.8747307658195496,,,,,
4,24,,,0.7547039985656738,0.9517204761505127,0.9755616188049316,0.9517204761505127
4,24,0.903833270072937,,,,,
5,29,,,0.8049550652503967,1.1013659238815308,1.0494598150253296,1.1013660430908203
5,29,0.8568328619003296,,,,,
6,34,,,0.7202562689781189,0.8956344723701477,0.9463796615600586,0.8956344127655029
6,34,0.8998439908027649,,,,,
7,39,,,0.7429075241088867,0.9024416208267212,0.9499692916870117,0.9024416208267212
7,39,0.7199235558509827,,,,,
8,44,,,0.7098376750946045,0.874087393283844,0.9349263906478882,0.874087393283844
8,44,0.718585729598999,,,,,
9,49,,0.15983453392982483,,,,
9,49,,,0.7434355020523071,0.9230085611343384,0.9607333540916443,0.9230084419250488
9,49,0.6917401552200317,,,,,
10,54,,,0.7073196768760681,0.9145060777664185,0.9562981128692627,0.9145060777664185
10,54,0.6432522535324097,,,,,
11,59,,,0.7611649036407471,1.0200636386871338,1.0099819898605347,1.0200636386871338
11,59,0.6429263353347778,,,,,
12,64,,,0.6934269070625305,0.8974394798278809,0.9473327994346619,0.8974394798278809
12,64,0.6119791865348816,,,,,
13,69,,,0.7014913558959961,0.8679973483085632,0.9316637516021729,0.8679973483085632
13,69,0.5853385925292969,,,,,
14,74,,,0.6825540661811829,0.8196749687194824,0.9053590297698975,0.8196750283241272
14,74,0.5600065588951111,,,,,
15,79,,,0.6585561037063599,0.7538326978683472,0.8682354092597961,0.7538326978683472
15,79,0.5404775142669678,,,,,
16,84,,,0.6843222379684448,0.7669216990470886,0.875740647315979,0.7669216394424438
16,84,0.5452091693878174,,,,,
17,89,,,0.6768100261688232,0.8305718898773193,0.9113571643829346,0.8305718898773193
17,89,0.5244979858398438,,,,,
18,94,,,0.6812942028045654,0.8124988079071045,0.9013871550559998,0.8124987483024597
18,94,0.5069742202758789,,,,,
19,99,,0.027566496282815933,,,,
19,99,,,0.6850286722183228,0.8023024797439575,0.8957133889198303,0.8023024797439575
19,99,0.4896460473537445,,,,,
