epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.8034753203392029,0.9931257963180542,0.9965569972991943,0.9931257963180542
0,4,1.1056815385818481,,,,,
1,9,,,0.8317809700965881,1.0623711347579956,1.0307139158248901,1.062371015548706
1,9,1.3707387447357178,,,,,
2,14,,,0.8402358293533325,1.180363416671753,1.0864453315734863,1.180363416671753
2,14,0.9666095972061157,,,,,
3,19,,,0.8196165561676025,1.0347412824630737,1.017222285270691,1.0347412824630737
3,19,0.9838538765907288,,,,,
4,24,,,0.9613762497901917,1.337269902229309,1.15640389919281,1.3372697830200195
4,24,1.014555811882019,,,,,
5,29,,,1.1811631917953491,1.9520460367202759,1.3971563577651978,1.9520457983016968
5,29,1.0637226104736328,,,,,
6,34,,,0.7249184250831604,0.8405991196632385,0.9168419241905212,0.8405991196632385
6,34,1.0701884031295776,,,,,
7,39,,,0.6590710282325745,0.7533926963806152,0.8679819703102112,0.7533926963806152
7,39,0.8741471767425537,,,,,
8,44,,,0.701869785785675,0.9183291792869568,0.9582949280738831,0.9183291792869568
8,44,0.8910650610923767,,,,,
9,49,,0.495120108127594,,,,
9,49,,,0.7261337637901306,0.9265065789222717,0.9625521302223206,0.9265066385269165
9,49,0.871981143951416,,,,,
10,54,,,0.6921877264976501,0.8201282620429993,0.9056093096733093,0.8201281428337097
10,54,0.8083613514900208,,,,,
11,59,,,0.6898112297058105,0.8120899200439453,0.9011602997779846,0.8120898604393005
11,59,0.7814282774925232,,,,,
12,64,,,0.7250264883041382,0.9038510918617249,0.9507108330726624,0.9038511514663696
12,64,0.7657289505004883,,,,,
13,69,,,0.7714658379554749,1.0219870805740356,1.010933756828308,1.021986961364746
13,69,0.7473865151405334,,,,,
14,74,,,0.678456723690033,0.8224701285362244,0.9069013595581055,0.8224701285362244
14,74,0.727612316608429,,,,,
15,79,,,0.7694921493530273,0.9682608246803284,0.9840024709701538,0.9682608246803284
15,79,0.7377404570579529,,,,,
16,84,,,0.7396972179412842,0.8818184733390808,0.9390519261360168,0.8818184733390808
16,84,0.7266622185707092,,,,,
17,89,,,0.7081520557403564,0.8180591464042664,0.9044662117958069,0.8180591464042664
17,89,0.7241038084030151,,,,,
18,94,,,0.660407304763794,0.7542294859886169,0.8684638738632202,0.7542294859886169
18,94,0.6801563501358032,,,,,
19,99,,0.1770632266998291,,,,
19,99,,,0.667716920375824,0.7513209581375122,0.8667877316474915,0.7513209581375122
19,99,0.7106752395629883,,,,,
