epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.8316537141799927,0.9991431832313538,0.9995715022087097,0.9991431832313538
0,4,1.0371496677398682,,,,,
1,9,,,0.8193094730377197,1.009446620941162,1.0047122240066528,1.009446620941162
1,9,1.5371869802474976,,,,,
2,14,,,0.8221121430397034,0.9831406474113464,0.9915344715118408,0.9831406474113464
2,14,0.9850327372550964,,,,,
3,19,,,0.8041307926177979,0.9841887950897217,0.9920629262924194,0.9841887950897217
3,19,0.8618662357330322,,,,,
4,24,,,0.7978387475013733,0.9879160523414612,0.9939396381378174,0.9879160523414612
4,24,0.9043881893157959,,,,,
5,29,,,0.8099077939987183,0.9546514749526978,0.9770627021789551,0.9546514749526978
5,29,0.8615520596504211,,,,,
6,34,,,0.7950311303138733,0.9472110867500305,0.9732477068901062,0.9472110867500305
6,34,0.8410294055938721,,,,,
7,39,,,0.7645055055618286,0.8503955006599426,0.9221689105033875,0.8503955006599426
7,39,0.816996157169342,,,,,
8,44,,,0.7970693707466125,0.94283127784729,0.9709950089454651,0.94283127784729
8,44,0.7666417360305786,,,,,
9,49,,0.2846386730670929,,,,
9,49,,,0.7511656284332275,0.8447955846786499,0.9191276431083679,0.8447955250740051
9,49,0.7180397510528564,,,,,
10,54,,,0.7346086502075195,0.8538257479667664,0.9240269064903259,0.8538257479667664
10,54,0.7035380601882935,,,,,
11,59,,,0.7498324513435364,0.8332937359809875,0.9128492474555969,0.8332936763763428
11,59,0.6827986240386963,,,,,
12,64,,,0.7424271702766418,0.9132109880447388,0.9556207060813904,0.9132109880447388
12,64,0.6695346832275391,,,,,
13,69,,,0.7288042902946472,0.8331332802772522,0.9127613306045532,0.833133339881897
13,69,0.6607802510261536,,,,,
14,74,,,0.7769619822502136,1.008217692375183,1.0041004419326782,1.008217692375183
14,74,0.6500147581100464,,,,,
15,79,,,0.721387505531311,0.8273187875747681,0.9095706343650818,0.8273187875747681
15,79,0.6315490007400513,,,,,
16,84,,,0.7120926380157471,0.7930712103843689,0.8905454277992249,0.7930711507797241
16,84,0.6280621886253357,,,,,
17,89,,,0.7070862650871277,0.8168877959251404,0.9038184285163879,0.8168877959251404
17,89,0.5952715277671814,,,,,
18,94,,,0.7172496914863586,0.8063446879386902,0.8979669809341431,0.806344747543335
18,94,0.5875676274299622,,,,,
19,99,,0.12989751994609833,,,,
19,99,,,0.7286045551300049,0.8369837999343872,0.914868175983429,0.8369837999343872
19,99,0.5941219925880432,,,,,
