epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.8290709853172302,0.9940598011016846,0.9970254898071289,0.9940598011016846
0,4,1.2380609512329102,,,,,
1,9,,,0.8344873189926147,1.029503345489502,1.0146443843841553,1.029503345489502
1,9,1.127260446548462,,,,,
2,14,,,0.8610571026802063,1.0847525596618652,1.04151451587677,1.0847525596618652
2,14,1.1529896259307861,,,,,
3,19,,,0.8151522874832153,0.9871237874031067,0.9935410618782043,0.9871237874031067
3,19,0.950320303440094,,,,,
4,24,,,0.8718098998069763,1.1109384298324585,1.0540106296539307,1.110938310623169
4,24,1.0653449296951294,,,,,
5,29,,,0.8018056750297546,0.9477473497390747,0.9735231399536133,0.9477473497390747
5,29,0.9697331786155701,,,,,
6,34,,,0.7619745135307312,0.9032793045043945,0.9504100680351257,0.9032793045043945
6,34,0.882725715637207,,,,,
7,39,,,0.903351902961731,1.1705541610717773,1.0819214582443237,1.1705541610717773
7,39,0.8495123982429504,,,,,
8,44,,,0.7870352864265442,0.9331477284431458,0.965995728969574,0.9331477284431458
8,44,0.8059269189834595,,,,,
9,49,,0.2232169210910797,,,,
9,49,,,0.7309523820877075,0.8657962679862976,0.9304817318916321,0.8657962679862976
9,49,0.7735657691955566,,,,,
10,54,,,0.7750083804130554,0.9735661149024963,0.9866945147514343,0.9735659956932068
10,54,0.7503578662872314,,,,,
11,59,,,0.6906960010528564,0.8414354920387268,0.9172979593276978,0.8414354920387268
11,59,0.726845383644104,,,,,
12,64,,,0.7156273126602173,0.9246472716331482,0.9615858197212219,0.9246472716331482
12,64,0.7476024031639099,,,,,
13,69,,,0.7199772596359253,0.8844806551933289,0.9404683113098145,0.8844805955886841
13,69,0.6819635033607483,,,,,
14,74,,,0.7525561451911926,1.0067923069000244,1.0033904314041138,1.0067923069000244
14,74,0.7171220779418945,,,,,
15,79,,,0.757446825504303,0.988836944103241,0.9944028258323669,0.988836944103241
15,79,0.6982437968254089,,,,,
16,84,,,0.7252821326255798,0.9102601408958435,0.9540755152702332,0.9102602005004883
16,84,0.6547450423240662,,,,,
17,89,,,0.7967093586921692,1.0750374794006348,1.0368402004241943,1.0750375986099243
17,89,0.6494224071502686,,,,,
18,94,,,0.7098730206489563,0.8632503151893616,0.9291126728057861,0.8632503747940063
18,94,0.6614587903022766,,,,,
19,99,,0.08664257824420929,,,,
19,99,,,0.7002273797988892,0.8270092010498047,0.909400463104248,0.8270092606544495
19,99,0.6224164366722107,,,,,
