epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,5,,,0.782477617263794,0.9990736842155457,0.9995367527008057,0.9990736842155457
0,5,1.1081916093826294,,,,,
1,11,,,0.7758670449256897,0.9803985357284546,0.9901507496833801,0.9803985357284546
1,11,0.9494372606277466,,,,,
2,17,,,0.8762943148612976,1.136923909187317,1.0662662982940674,1.136923909187317
2,17,1.0142430067062378,,,,,
3,23,,,0.7298546433448792,0.8959620594978333,0.9465527534484863,0.8959620594978333
3,23,0.8762280941009521,,,,,
4,29,,,1.003156065940857,1.415698766708374,1.1898313760757446,1.415698766708374
4,29,0.8244394659996033,,,,,
5,35,,,0.9478750228881836,1.362107515335083,1.1670936346054077,1.3621076345443726
5,35,0.8633902668952942,,,,,
6,41,,,0.9100927710533142,1.2866466045379639,1.134304404258728,1.2866466045379639
6,41,0.8561207056045532,,,,,
7,47,,,0.7974846959114075,1.0395534038543701,1.0195848941802979,1.0395534038543701
7,47,0.8383669853210449,,,,,
8,49,,0.6703026294708252,,,,
8,53,,,0.6932023763656616,0.8203660845756531,0.9057406187057495,0.8203659653663635
8,53,0.7992651462554932,,,,,
9,59,,,0.6818928718566895,0.809742271900177,0.8998568058013916,0.8097422122955322
9,59,0.7566497921943665,,,,,
10,65,,,0.6704760193824768,0.7835077047348022,0.8851597309112549,0.7835076451301575
10,65,0.7214657664299011,,,,,
11,71,,,0.6574656963348389,0.7542359232902527,0.8684675693511963,0.7542359232902527
11,71,0.6575919985771179,,,,,
12,77,,,0.6436651349067688,0.7025564312934875,0.8381863832473755,0.7025564312934875
12,77,0.6198968887329102,,,,,
13,83,,,0.6782931685447693,0.8018202185630798,0.8954441547393799,0.8018202185630798
13,83,0.61175936460495,,,,,
14,89,,,0.6267161965370178,0.6671723127365112,0.8168061375617981,0.6671723127365112
14,89,0.5803614854812622,,,,,
15,95,,,0.6384609937667847,0.691344141960144,0.8314710855484009,0.691344141960144
15,95,0.5732051134109497,,,,,
16,99,,0.6080454587936401,,,,
16,101,,,0.608237624168396,0.6306688189506531,0.7941465973854065,0.6306688189506531
16,101,0.5270981788635254,,,,,
17,107,,,0.5682321786880493,0.5628723502159119,0.7502481937408447,0.5628723502159119
17,107,0.5516323447227478,,,,,
18,113,,,0.5947220921516418,0.6049200892448425,0.7777661085128784,0.6049201488494873
18,113,0.5470066070556641,,,,,
19,119,,,0.5589954853057861,0.5430882573127747,0.7369452118873596,0.5430881977081299
19,119,0.5066114068031311,,,,,
