epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.8428385257720947,0.9943994283676147,0.9971957802772522,0.9943994283676147
0,4,1.1207375526428223,,,,,
1,9,,,0.8446072340011597,0.9944995641708374,0.9972459673881531,0.9944995641708374
1,9,1.0070124864578247,,,,,
2,14,,,0.8685391545295715,1.0991305112838745,1.0483942031860352,1.0991305112838745
2,14,1.2809407711029053,,,,,
3,19,,,0.8482762575149536,1.0296013355255127,1.014692783355713,1.0296013355255127
3,19,1.1121822595596313,,,,,
4,24,,,0.7961401343345642,0.8846490979194641,0.9405578374862671,0.8846490383148193
4,24,1.0816365480422974,,,,,
5,29,,,0.7641783952713013,0.8173309564590454,0.9040635824203491,0.8173309564590454
5,29,0.8183305859565735,,,,,
6,34,,,0.7774984240531921,0.8616620302200317,0.9282575249671936,0.8616620898246765
6,34,0.8353720307350159,,,,,
7,39,,,0.8089951872825623,0.9912109375,0.9955957531929016,0.9912109375
7,39,0.7803309559822083,,,,,
8,44,,,0.7334272861480713,0.773756206035614,0.8796341419219971,0.773756206035614
8,44,0.7876535058021545,,,,,
9,49,,0.14218835532665253,,,,
9,49,,,0.7165208458900452,0.7713839411735535,0.8782846331596375,0.771384060382843
9,49,0.7383204102516174,,,,,
10,54,,,0.7655357718467712,0.9332349896430969,0.9660409092903137,0.9332349896430969
10,54,0.6447435617446899,,,,,
11,59,,,0.7062599658966064,0.7563875913619995,0.8697054386138916,0.7563876509666443
11,59,0.672080934047699,,,,,
12,64,,,0.7673035860061646,0.9757521748542786,0.9878016710281372,0.9757521748542786
12,64,0.6155581474304199,,,,,
13,69,,,0.7127089500427246,0.8282889723777771,0.9101037979125977,0.8282889723777771
13,69,0.6126495003700256,,,,,
14,74,,,0.6938284039497375,0.7489336729049683,0.8654095530509949,0.7489336729049683
14,74,0.5827288627624512,,,,,
15,79,,,0.6797180771827698,0.7012770771980286,0.8374229073524475,0.7012770771980286
15,79,0.5792092680931091,,,,,
16,84,,,0.6801096200942993,0.7415621280670166,0.8611400127410889,0.7415621280670166
16,84,0.5667393207550049,,,,,
17,89,,,0.6538099646568298,0.6732980608940125,0.8205474019050598,0.6732980608940125
17,89,0.5442720055580139,,,,,
18,94,,,0.6416701078414917,0.6638650894165039,0.8147791624069214,0.6638650298118591
18,94,0.5325142741203308,,,,,
19,99,,0.05397547781467438,,,,
19,99,,,0.6566797494888306,0.6993914842605591,0.8362962603569031,0.6993915438652039
19,99,0.5373092889785767,,,,,
