epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,21.40450096130371,
0,99,,17.776939392089844,
0,149,,10.571845054626465,
0,198,,,1.2307918071746826
0,198,17.401132583618164,,
1,199,,7.022113800048828,
1,249,,4.051093578338623,
