epoch,step,train_loss_epoch,train_loss_step,val/mae,val/mse,val/rmse,val_loss
0,4,,,0.7912492752075195,1.004831075668335,1.0024126768112183,1.004831075668335
0,4,1.2371424436569214,,,,,
1,9,,,0.8058654069900513,1.0258718729019165,1.0128533840179443,1.0258718729019165
1,9,1.2478102445602417,,,,,
2,14,,,0.7905209064483643,0.9958915710449219,0.9979436993598938,0.9958915710449219
2,14,1.0477720499038696,,,,,
3,19,,,1.3363529443740845,2.38608455657959,1.5446956157684326,2.386084794998169
3,19,1.039500117301941,,,,,
4,24,,,1.8085554838180542,4.43582820892334,2.106140613555908,4.43582820892334
4,24,1.2664600610733032,,,,,
5,29,,,0.8760399222373962,1.3225899934768677,1.1500390768051147,1.3225899934768677
5,29,1.3401989936828613,,,,,
6,34,,,0.7083801627159119,0.8754820823669434,0.9356719851493835,0.8754820823669434
6,34,1.0501456260681152,,,,,
7,39,,,0.7028368711471558,0.8568000197410583,0.9256349205970764,0.8568000197410583
7,39,0.8115360736846924,,,,,
8,44,,,0.7090390920639038,0.9012095332145691,0.9493205547332764,0.9012095332145691
8,44,0.872377336025238,,,,,
9,49,,0.26634201407432556,,,,
9,49,,,0.721714973449707,0.9276975989341736,0.96317058801651,0.9276975989341736
9,49,0.7895386815071106,,,,,
10,54,,,0.6962249279022217,0.8833718299865723,0.9398786425590515,0.883371889591217
10,54,0.7660053968429565,,,,,
11,59,,,0.7117636203765869,0.9062346816062927,0.9519636034965515,0.906234622001648
11,59,0.7692046761512756,,,,,
12,64,,,0.7303509712219238,0.9554101824760437,0.9774508476257324,0.9554102420806885
12,64,0.7339072227478027,,,,,
13,69,,,0.7234249114990234,0.936915397644043,0.9679439067840576,0.936915397644043
13,69,0.7188439965248108,,,,,
14,74,,,0.7062867879867554,0.8838582634925842,0.9401373863220215,0.883858323097229
14,74,0.7157845497131348,,,,,
15,79,,,0.6907694339752197,0.8491389155387878,0.9214873313903809,0.8491388559341431
15,79,0.691511332988739,,,,,
16,84,,,0.6902013421058655,0.8356218338012695,0.91412353515625,0.8356217741966248
16,84,0.6963821053504944,,,,,
17,89,,,0.6806401014328003,0.8168057799339294,0.9037730693817139,0.8168058395385742
17,89,0.6881619095802307,,,,,
18,94,,,0.6906805038452148,0.8440842628479004,0.9187405705451965,0.8440843224525452
18,94,0.6729031205177307,,,,,
19,99,,0.14633795619010925,,,,
19,99,,,0.6835849285125732,0.833403468132019,0.9129093289375305,0.8334033489227295
19,99,0.681484580039978,,,,,
