CANONICAL_SMILES
Cc1ccc(NC(CNS(=O)(=O)c2ccc(Cl)cc2)c2ccccc2)cc1
O=C(Cn1ccc2ccccc2c1=O)N1CCN(c2cccc(Cl)c2)CC1
Cn1cc(-c2nc3cnc(Oc4cccc(Cl)c4)nc3n(CCC#N)c2=O)c2ccccc21
C=CCOC(=O)C(C(C)=O)C(NC(=O)OC)c1ccc(F)cc1
CCCC(CCC)C(=O)O
c1cncc(CNc2nc(-c3ccoc3)nc3ccccc23)c1
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4ccccn4)c3C[C@H]2CN1C(=O)c1ccccc1
COC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(C#N)c3)C2)CC1
O=C1NCCN1c1ncc([N+](=O)[O-])s1
Clc1cccc(CSc2nnc(-c3sccc3-n3cccc3)o2)c1
COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCO)c3C[C@H]2CN1C(=O)c1ccccc1
CC(=O)Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1Cc1ccccc1
CCc1cc2c(=O)c(-c3nc4ccccc4[nH]3)coc2cc1OC(=O)N1CCOCC1
COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
CCCC1O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CNC(=O)Nc1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)c1
c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1
O=C(c1cnccn1)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1
COc1ccc(-c2nc3cnc(OC)nc3n(C3CC3)c2=O)cc1
Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O
CCCCn1c(SC(C)C(=O)c2ccc(OC)cc2)nc2cc(S(N)(=O)=O)ccc21
NCCCP(=O)(O)O
O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1
COc1cccc(OC)c1[C@@H]1CC(F)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(OCc3ccccc3)nc21
Cn1cc(Cc2cn(CC(=O)N(CCN3CCCC3)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1
COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCc4ccc(O)c(O)c4)c3C[C@H]2CN1C(=O)c1ccccc1
CCCCOc1ccc(-n2ccnc2)cc1
COc1ccc2[nH]cc(CCNc3ccnc(-c4ccc5c(c4)OCO5)n3)c2c1
COc1cccc(Sc2cc(N3CCOCC3)nc(-c3ccccc3)n2)c1
COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12
O=C(c1csnn1)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1
CC(=O)Nc1ccc(NC(=O)CC2Nc3cccc4cccc(c34)NC2=O)cc1
CC(C)c1nc(C(=O)NC2CCN(C(C)C)CC2)c2ccccn12
Cc1cnc(CNc2ccnc(-c3cccnc3)n2)cn1
CC(C)c1nc(CN(C)C(=O)NC(Cc2cn(C)cn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC
COc1ccc(C(=O)N2CCC3(CCN(Cc4nccs4)CC3)CC2)cc1
COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(C=Cc4ccc(CN(C)C)cc4)[nH]nc3c1)C(=O)N2
